portal	method	path	title	handler	confidence	functional_note	controller_file	controller_method	params
用户端	POST	api/common/base64	get_image_base64	api.Common/get_image_base64	high		app/controller/api/Common.php	get_image_base64	image,code
用户端	GET	api/common/commuunity/hot_keyword	hotKeyword	api.Common/hotKeyword	high		app/controller/api/Common.php	hotKeyword	type
用户端	GET	api/common/express	express	api.Common/express	high		app/controller/api/Common.php	express	
用户端	GET	api/common/feedback_type	lst	api.user.FeedBackCategory/lst	high		app/controller/api/user/FeedBackCategory.php	lst	
用户端	GET	api/common/home	home	api.Common/home	high		app/controller/api/Common.php	home	
用户端	GET	api/common/hot_banner/:type	hotBanner	api.Common/hotBanner	high		app/controller/api/Common.php	hotBanner	type
用户端	GET	api/common/hot_keyword	hotKeyword	api.Common/hotKeyword	high		app/controller/api/Common.php	hotKeyword	type
用户端	GET	api/common/menus	menus	api.Common/menus	high		app/controller/api/Common.php	menus	
用户端	GET	api/common/pay_key/:key	pay_key	api.Common/pay_key	high		app/controller/api/Common.php	pay_key	key
用户端	GET	api/common/recharge_quota	userRechargeQuota	api.Common/userRechargeQuota	high		app/controller/api/Common.php	userRechargeQuota	
用户端	GET	api/common/refund_message	refundMessage	api.Common/refundMessage	high		app/controller/api/Common.php	refundMessage	
用户端	POST	api/common/visit	visit	api.Common/visit	high		app/controller/api/Common.php	visit	page,type
用户端	GET	api/community/:id/reply	lst	api.community.CommunityReply/lst	high		app/controller/api/community/CommunityReply.php	lst	id,page,limit
用户端	GET	api/community/category/lst	lst	api.community.CommunityCategory/lst	high		app/controller/api/community/CommunityCategory.php	lst	
用户端	POST	api/community/create	create	api.community.Community/create	high		app/controller/api/community/Community.php	create	image,topic_id,content,spu_id,order_id,is_type,video_link
用户端	POST	api/community/delete/:id	delete	api.community.Community/delete	high		app/controller/api/community/Community.php	delete	id
用户端	POST	api/community/fans/:id	setFocus	api.community.Community/setFocus	high		app/controller/api/community/Community.php	setFocus	id,status
用户端	GET	api/community/fans/lst	getUserFans	api.community.Community/getUserFans	high		app/controller/api/community/Community.php	getUserFans	page,limit
用户端	GET	api/community/focus/lst	getUserFocus	api.community.Community/getUserFocus	high		app/controller/api/community/Community.php	getUserFocus	page,limit
用户端	GET	api/community/focuslst	focuslst	api.community.Community/focuslst	high		app/controller/api/community/Community.php	focuslst	page,limit,type
用户端	GET	api/community/hist_product/lst	historyList	api.community.Community/historyList	high		app/controller/api/community/Community.php	historyList	page,limit,keyword
用户端	GET	api/community/lst	lst	api.community.Community/lst	high		app/controller/api/community/Community.php	lst	page,limit,keyword,topic_id,is_hot,category_id,spu_id,search_type
用户端	GET	api/community/order/:id	getSpuByOrder	api.community.Community/getSpuByOrder	high		app/controller/api/community/Community.php	getSpuByOrder	id
用户端	GET	api/community/pay_product/lst	payList	api.community.Community/payList	high		app/controller/api/community/Community.php	payList	page,limit,keyword
用户端	GET	api/community/qrcode/:id	qrcode	api.community.Community/qrcode	high		app/controller/api/community/Community.php	qrcode	id,type
用户端	GET	api/community/rela_product/lst	relationList	api.community.Community/relationList	high		app/controller/api/community/Community.php	relationList	page,limit,keyword
用户端	POST	api/community/reply/create/:id	create	api.community.CommunityReply/create	high		app/controller/api/community/CommunityReply.php	create	id,content,reply_id
用户端	POST	api/community/reply/start/:id	start	api.community.CommunityReply/start	high		app/controller/api/community/CommunityReply.php	start	id,status
用户端	GET	api/community/show/:id	show	api.community.Community/show	high		app/controller/api/community/Community.php	show	id
用户端	POST	api/community/start/:id	startCommunity	api.community.Community/startCommunity	high		app/controller/api/community/Community.php	startCommunity	id,status
用户端	GET	api/community/start/lst	getUserStartCommunity	api.community.Community/getUserStartCommunity	high		app/controller/api/community/Community.php	getUserStartCommunity	page,limit
用户端	POST	api/community/update/:id	update	api.community.Community/update	high		app/controller/api/community/Community.php	update	id
