portal	module	page	action	crud	source	identifier
平台后台	内容	内容	(页面入口)	R	待补	
平台后台	内容 / 文章	文章	文章分类详情	R	路由	systemArticleCategoryDetail
平台后台	内容 / 文章	文章	文章列表	R	路由	systemArticlArticleLst
平台后台	内容 / 文章	文章	文章添加	C	路由	systemArticleArticleCreate
平台后台	内容 / 文章	文章	文章编辑	U	路由	systemArticArticleleUpdate
平台后台	内容 / 文章	文章	文章删除	D	路由	systemArticArticleleDelete
平台后台	内容 / 文章 / 文章分类	文章分类	文章分类列表	R	菜单权限	systemArticleCategoryLst
平台后台	内容 / 文章 / 文章分类	文章分类	文章分类添加	C	菜单权限	systemArticleCategoryCreate
平台后台	内容 / 文章 / 文章分类	文章分类	文章分类编辑	U	菜单权限	systemArticleCategoryUpdate
平台后台	内容 / 文章 / 文章分类	文章分类	文章分类修改状态	U	菜单权限	systemArticleCategoryStatus
平台后台	内容 / 文章 / 文章分类	文章分类	文章分类删除	D	菜单权限	systemArticleCategoryDelete
平台后台	内容 / 文章 / 文章分类	文章分类	文章分类详情	R	菜单权限	systemArticleCategoryDetail
平台后台	内容 / 文章 / 文章管理	文章管理	文章列表	R	菜单权限	systemArticlArticleLst
平台后台	内容 / 文章 / 文章管理	文章管理	文章添加	C	菜单权限	systemArticleArticleCreate
平台后台	内容 / 文章 / 文章管理	文章管理	文章编辑	U	菜单权限	systemArticArticleleUpdate
平台后台	内容 / 文章 / 文章管理	文章管理	文章删除	D	菜单权限	systemArticArticleleDelete
平台后台	内容 / 文章 / 文章管理	文章管理	文章详情	R	菜单权限	systemArticArticleleDetail
平台后台	内容 / 文章 / 文章管理	文章管理	文章修改状态	U	菜单权限	systemArticlArticlStatus
平台后台	内容 / 文章 / 文章管理	文章管理	上传图片	C	菜单权限	uploadImage
平台后台	内容 / 文章 / 文章管理	文章管理	素材列表	R	菜单权限	systemAttachmentLst
平台后台	内容 / 社区	社区	文章详情	R	路由	systemCommunityShow
平台后台	内容 / 社区	社区	统计	R	路由	systemCommunityTitle
平台后台	内容 / 社区	社区	社区分类状态	U	路由	systemCommunityCategoryLst
平台后台	内容 / 社区	社区	社区分类添加表单	C	路由	systemCommunityCategoryCreateForm
平台后台	内容 / 社区	社区	社区分类添加	C	路由	systemCommunityCategoryCreate
平台后台	内容 / 社区	社区	社区分类编辑表单	U	路由	systemCommunityCategoryUpdateForm
平台后台	内容 / 社区	社区	社区分类编辑	U	路由	systemCommunityCategoryUpdate
平台后台	内容 / 社区	社区	社区分类详情	R	路由	systemCommunityCategoryDetail
平台后台	内容 / 社区	社区	社区分类删除	D	路由	systemCommunityCategoryDelete
平台后台	内容 / 社区 / 社区内容	社区内容	文章列表	R	菜单权限	systemCommunityLst
平台后台	内容 / 社区 / 社区内容	社区内容	文章详情	R	菜单权限	systemCommunityDetail
平台后台	内容 / 社区 / 社区内容	社区内容	文章编辑	U	菜单权限	systemCommunityUpdate
平台后台	内容 / 社区 / 社区内容	社区内容	文章删除	D	菜单权限	systemCommunityDelete
平台后台	内容 / 社区 / 社区内容	社区内容	修改状态	U	菜单权限	systemCommunityStatus
平台后台	内容 / 社区 / 社区内容	社区内容	文章详情	RU	菜单权限	systemCommunityShow
平台后台	内容 / 社区 / 社区内容	社区内容	统计	R	菜单权限	systemCommunityTitle
平台后台	内容 / 社区 / 社区分类	社区分类	社区分类状态	RU	菜单权限	systemCommunityCategoryLst
平台后台	内容 / 社区 / 社区分类	社区分类	社区分类添加	C	菜单权限	systemCommunityCategoryCreate
平台后台	内容 / 社区 / 社区分类	社区分类	社区分类编辑	U	菜单权限	systemCommunityCategoryUpdate
平台后台	内容 / 社区 / 社区分类	社区分类	社区分类详情	R	菜单权限	systemCommunityCategoryDetail
平台后台	内容 / 社区 / 社区分类	社区分类	社区分类删除	D	菜单权限	systemCommunityCategoryDelete
平台后台	内容 / 社区 / 社区分类	社区分类	社区分类修改状态	U	菜单权限	systemCommunityCategoryStatus
平台后台	内容 / 社区 / 社区评论	社区评论	社区评论列表	R	菜单权限	systemCommunityReplyLst
平台后台	内容 / 社区 / 社区评论	社区评论	社区评论删除	D	菜单权限	systemCommunityReplyDelete
平台后台	内容 / 社区 / 社区评论	社区评论	社区评论审核	U	菜单权限	systemCommunityReplyStatus
平台后台	内容 / 社区 / 社区评论	社区评论	内容评论列表	R	菜单权限	systemCommunityReply
平台后台	内容 / 社区 / 社区话题	社区话题	社区话题	R	菜单权限	systemCommunityTopicLst
平台后台	内容 / 社区 / 社区话题	社区话题	社区话题添加	C	菜单权限	systemCommunityTopicCreate
平台后台	内容 / 社区 / 社区话题	社区话题	社区话题编辑	U	菜单权限	systemCommunityTopicUpdate
平台后台	内容 / 社区 / 社区话题	社区话题	社区话题详情 	R	菜单权限	systemCommunityTopicDetail
平台后台	内容 / 社区 / 社区话题	社区话题	社区话题删除	D	菜单权限	systemCommunityTopicDelete
平台后台	内容 / 社区 / 社区话题	社区话题	社区话题修改状态	U	菜单权限	systemCommunityTopicStatus
平台后台	内容 / 社区 / 社区话题	社区话题	社区话题推荐	U	菜单权限	systemCommunityTopicHot
平台后台	内容 / 社区 / 社区话题	社区话题	上传图片	C	菜单权限	uploadImage
平台后台	内容 / 社区 / 社区话题	社区话题	图片列表	R	菜单权限	systemAttachmentLst
平台后台	内容 / 社区 / 社区配置	社区配置	编辑配置信息	CU	菜单权限	configSave
平台后台	分销	分销	记录	R	路由	systemSpreadOrderStatus
平台后台	分销	分销	关联订单	R	路由	systemSpreadOrderChildrenList
平台后台	分销	分销	列表	R	路由	systemOrderLst
平台后台	分销	分销	金额统计	R	路由	systemOrderStat
平台后台	分销	分销	快递查询	R	路由	systemOrderExpress
平台后台	分销	分销	头部统计	R	路由	systemOrderTitle
平台后台	分销	分销	详情	R	路由	systemOrderDetail
平台后台	分销	分销	导出	R	路由	systemOrderExcel
