portal	module	page	action	crud	source	identifier
平台后台	分销 / 佣金说明	佣金说明	佣金说明	C	菜单权限	systemAgreeSave
平台后台	分销 / 分销员列表	分销员列表	分销员列表	R	菜单权限	systemPromoterUserLst
平台后台	分销 / 分销员列表	分销员列表	分销员统计	R	菜单权限	systemPromoterUserCount
平台后台	分销 / 分销员列表	分销员列表	修改分销员等级	CRU	菜单权限	systemUserSpreadSave
平台后台	分销 / 分销员列表	分销员列表	推广人列表	R	菜单权限	systemUserSpreadLst
平台后台	分销 / 分销员列表	分销员列表	推广人订单	R	菜单权限	systemUserSpreadOrder
平台后台	分销 / 分销员列表	分销员列表	清除推广人	RD	菜单权限	systemUserSpreadClear
平台后台	分销 / 分销海报	分销海报	详情	R	菜单权限	groupDetail
平台后台	分销 / 分销海报	分销海报	列表	R	菜单权限	groupDataLst
平台后台	分销 / 分销海报	分销海报	添加	C	菜单权限	groupDataCreate
平台后台	分销 / 分销海报	分销海报	编辑	U	菜单权限	groupDataUpdate
平台后台	分销 / 分销海报	分销海报	删除	D	菜单权限	groupDataDelete
平台后台	分销 / 分销海报	分销海报	修改状态	U	菜单权限	groupDataChangeStatus
平台后台	分销 / 分销海报	分销海报	上传图片	C	菜单权限	uploadImage
平台后台	分销 / 分销海报	分销海报	图片列表	R	菜单权限	systemAttachmentLst
平台后台	分销 / 分销特权	分销特权	详情	R	菜单权限	groupDetail
平台后台	分销 / 分销特权	分销特权	列表	R	菜单权限	groupDataLst
平台后台	分销 / 分销特权	分销特权	添加	C	菜单权限	groupDataCreate
平台后台	分销 / 分销特权	分销特权	编辑	U	菜单权限	groupDataUpdate
平台后台	分销 / 分销特权	分销特权	删除	D	菜单权限	groupDataDelete
平台后台	分销 / 分销特权	分销特权	修改状态	U	菜单权限	groupDataChangeStatus
平台后台	分销 / 分销特权	分销特权	上传图片	C	菜单权限	uploadImage
平台后台	分销 / 分销特权	分销特权	图片列表	R	菜单权限	systemAttachmentLst
平台后台	分销 / 分销礼包	分销礼包	统计	R	菜单权限	systemStoreBagLstFilter
平台后台	分销 / 分销礼包	分销礼包	列表	R	菜单权限	systemStoreBagLst
平台后台	分销 / 分销礼包	分销礼包	详情	R	菜单权限	systemStoreBagDetail
平台后台	分销 / 分销礼包	分销礼包	编辑	U	菜单权限	systemStoreBagUpdate
平台后台	分销 / 分销礼包	分销礼包	修改状态	U	菜单权限	systemStoreBagSwitchStatus
平台后台	分销 / 分销礼包	分销礼包	显示/隐藏	U	菜单权限	systemStoreBagChangeUsed
平台后台	分销 / 分销等级	分销等级	(页面入口)	R	待补	
平台后台	分销 / 分销等级 / 分销员等级	分销员等级	分销员等级列表	R	菜单权限	systemUserBrokerageLst
平台后台	分销 / 分销等级 / 分销员等级	分销员等级	分销员等级添加	C	菜单权限	systemUserBrokerageCreate
平台后台	分销 / 分销等级 / 分销员等级	分销员等级	分销员等级编辑	U	菜单权限	systemUserBrokerageUpdate
平台后台	分销 / 分销等级 / 分销员等级	分销员等级	分销员等级删除	D	菜单权限	systemUserBrokerageDelete
平台后台	分销 / 分销等级 / 分销员等级	分销员等级	上传图片	C	菜单权限	uploadImage
平台后台	分销 / 分销等级 / 分销员等级	分销员等级	图片列表	R	菜单权限	systemAttachmentLst
平台后台	分销 / 分销等级 / 等级规则	等级规则	等级规则	C	菜单权限	systemAgreeSave
平台后台	分销 / 分销订单	分销订单	金额统计	R	菜单权限	systemSpreadOrderStat
平台后台	分销 / 分销订单	分销订单	快递查询	R	菜单权限	systemSpreadOrderExpress
平台后台	分销 / 分销订单	分销订单	头部统计	R	菜单权限	systemSpreadOrderTitle
平台后台	分销 / 分销订单	分销订单	详情	R	菜单权限	systemSpreadOrderDetail
平台后台	分销 / 分销订单	分销订单	导出	R	菜单权限	systemSpreadOrderExcel
平台后台	分销 / 分销订单	分销订单	记录	RU	菜单权限	systemSpreadOrderStatus
平台后台	分销 / 分销订单	分销订单	关联订单	R	菜单权限	systemSpreadOrderChildrenList
平台后台	分销 / 分销订单	分销订单	列表	R	菜单权限	systemSpreadOrderLst
平台后台	分销 / 分销说明	分销说明	(页面入口)	R	待补	
平台后台	分销 / 分销配置	分销配置	配置保存	CU	菜单权限	configOthersSettingUpdate
平台后台	分销 / 提现银行	提现银行	详情	R	菜单权限	groupDetail
平台后台	分销 / 提现银行	提现银行	列表	R	菜单权限	groupDataLst
平台后台	分销 / 提现银行	提现银行	添加	C	菜单权限	groupDataCreate
平台后台	分销 / 提现银行	提现银行	编辑	U	菜单权限	groupDataUpdate
平台后台	分销 / 提现银行	提现银行	删除	D	菜单权限	groupDataDelete
平台后台	分销 / 提现银行	提现银行	修改状态	U	菜单权限	groupDataChangeStatus
平台后台	分销 / 提现银行	提现银行	上传图片	C	菜单权限	uploadImage
平台后台	分销 / 提现银行	提现银行	图片列表	R	菜单权限	systemAttachmentLst
平台后台	商品	商品	平台参数列表	R	路由	systemStoreParameterTemplateLst
平台后台	商品	商品	商户参数模板	R	路由	systemStoreParameterTemplateMerLst
平台后台	商品	商品	详情	R	路由	systemStoreParameterTemplateDetail
平台后台	商品	商品	删除	D	路由	systemStoreParameterTemplateDelete
平台后台	商品	商品	添加	C	路由	systemStoreParameterTemplateCreate
平台后台	商品 / 价格说明	价格说明	价格说明列表	R	菜单权限	systemPriceRuleLst
平台后台	商品 / 价格说明	价格说明	添加价格说明	C	菜单权限	systemPriceRuleCreate
平台后台	商品 / 价格说明	价格说明	修改价格说明	U	菜单权限	systemPriceRuleUpdate
平台后台	商品 / 价格说明	价格说明	价格说明修改状态	U	菜单权限	systemPriceRuleStatus
平台后台	商品 / 价格说明	价格说明	删除价格说明	D	菜单权限	systemPriceRuleDelete
平台后台	商品 / 价格说明	价格说明	上传图片	C	菜单权限	uploadImage
平台后台	商品 / 价格说明	价格说明	图片列表	R	菜单权限	systemAttachmentLst
平台后台	商品 / 保障服务	保障服务	列表	R	菜单权限	systemGuaranteeLst
平台后台	商品 / 保障服务	保障服务	添加	C	菜单权限	systemGuaranteeCreate
平台后台	商品 / 保障服务	保障服务	编辑	U	菜单权限	systemGuaranteeUpdate
平台后台	商品 / 保障服务	保障服务	详情	R	菜单权限	systemGuaranteeDetail
平台后台	商品 / 保障服务	保障服务	删除	D	菜单权限	systemGuaranteeDelete
平台后台	商品 / 保障服务	保障服务	排序	U	菜单权限	systemGuaranteeSort
平台后台	商品 / 保障服务	保障服务	修改状态	U	菜单权限	systemGuaranteeStatus
平台后台	商品 / 保障服务	保障服务	上传图片	C	菜单权限	uploadImage
平台后台	商品 / 保障服务	保障服务	图片列表	R	菜单权限	systemAttachmentLst
平台后台	商品 / 品牌管理	品牌管理	(页面入口)	R	待补	
平台后台	商品 / 品牌管理 / 品牌分类	品牌分类	编辑	U	菜单权限	systemStoreBrandCategoryUpdate
平台后台	商品 / 品牌管理 / 品牌分类	品牌分类	列表	R	菜单权限	systemStoreBrandCategoryLst
