portal	group	module	action	crud	method	path	handler	name
商户手机端/店员	manager	refund/check	退款单	R	GET	:merId/refund/check/:id	/check	
商户手机端/店员	manager	refund/create	create (:merId/refund/create)	CD	POST	:merId/refund/create	/create	
商户手机端/店员	manager	refund/compute	compute (:merId/refund/compute)	D	POST	:merId/refund/compute	/compute	
商户手机端/店员	manager	refund/lst	lst (:merId/refund/lst)	R	GET	:merId/refund/lst	/lst	
商户手机端/店员	manager	refund/detail	detail (:merId/refund/detail/:id)	R	GET	:merId/refund/detail/:id	/detail	
商户手机端/店员	manager	refund/get	get Refund Price (:merId/refund/get/:id)	R	GET	:merId/refund/get/:id	/getRefundPrice	
商户手机端/店员	manager	refund/confirm	refund Price (:merId/refund/confirm/:id)	UD	POST	:merId/refund/confirm/:id	/refundPrice	
商户手机端/店员	manager	refund/express	express (:merId/refund/express/:id)	R	GET	:merId/refund/express/:id	/express	
商户手机端/店员	manager	refund/status	switch Status (:merId/refund/status/:id)	UD	POST	:merId/refund/status/:id	/switchStatus	
商户手机端/店员	manager	refund/mark	mark (:merId/refund/mark/:id)	UD	POST	:merId/refund/mark/:id	/mark	
商户手机端/店员	manager	order	detail (/:merId/order/:id)	R	GET	/:merId/order/:id	/detail	
商户手机端/店员	manager	manager	verify (/:merId/:id)	U	POST	/:merId/:id	/verify	
商户手机端/店员	manager	order_lst	order_lst (order_lst)	R	GET	order_lst	/order_lst	
商户手机端/店员	manager	order	order Detail (order/:id)	R	GET	order/:id	/orderDetail	
商户手机端/店员	manager	order/dispatch	reservation Dispatch (order/:id/dispatch)	C	POST	order/:id/dispatch	/reservationDispatch	
商户手机端/店员	manager	order/verifier	verify (order/:id/verifier)	U	POST	order/:id/verifier	/verify	
商户手机端/店员	manager	order/check	check In (order/:id/check)	U	POST	order/:id/check	/checkIn	
商户手机端/店员	manager	order/trace	add Trace (order/:id/trace)	C	POST	order/:id/trace	/addTrace	
商户手机端/店员	manager	order/mark	mark (order/:id/mark)	U	POST	order/:id/mark	/mark	
商户手机端/店员	manager	reservation/config	reservation Config (reservation/config)	R	GET	reservation/config	/reservationConfig	
商户手机端/店员	manager	order_lst	order_lst (order_lst)	R	GET	order_lst	/order_lst	deliveryOrderLst
商户手机端/店员	manager	order	order Detail (order/:id)	R	GET	order/:id	/orderDetail	deliveryOrderDetail
商户手机端/店员	manager	order/receive	receive (order/:id/receive)	C	POST	order/:id/receive	/receive	
商户手机端/店员	manager	order/confirm	confirm (order/:id/confirm)	U	POST	order/:id/confirm	/confirm	
商户手机端/店员	manager	order/mark	mark (order/:id/mark)	U	POST	order/:id/mark	/mark	
